vehicle_name,model,vehicle_type,model_year,fuel_type,mileage,spec,price
toyota,Coaster,Bus,2023,Diesel,0,GCC,191000
toyota,Land Cruiser,SUV/Crossover,2023,Gasoline,0,Import,323000
toyota,Hilux,Pick Up Truck,2023,Gasoline,0,GCC,100000
toyota,Hilux,Pick Up Truck,2023,Diesel,0,Import,97000
toyota,Hilux,Pick Up Truck,2023,Diesel,0,GCC,160000
toyota,Land Cruiser Pickup,Pick Up Truck,2023,Diesel,0,Import,159000
toyota,Land Cruiser,SUV/Crossover,2023,Gasoline,0,GCC,290000
toyota,Land Cruiser Pickup,Pick Up Truck,2023,Diesel,0,Import,145000
toyota,Hilux,Pick Up Truck,2023,Gasoline,0,GCC,126000
toyota,Land Cruiser Hard Top,SUV/Crossover,2023,Diesel,0,GCC,165000
toyota,Hilux,Pick Up Truck,2023,Diesel,0,GCC,89000
toyota,Hilux,Pick Up Truck,2023,Gasoline,0,Import,138000
toyota,Prado,SUV/Crossover,2023,Diesel,0,Import,193000
toyota,Hiace,Van,2023,Diesel,0,GCC,128000
toyota,Hilux,Pick Up Truck,2023,Gasoline,0,GCC,110000
toyota,Land Cruiser,SUV/Crossover,2023,Diesel,0,Import,350000
toyota,Land Cruiser,SUV/Crossover,2023,Diesel,0,GCC,330000
toyota,Land Cruiser,SUV/Crossover,2023,Gasoline,0,GCC,345000
toyota,Land Cruiser,SUV/Crossover,2022,Diesel,0,GCC,245000
toyota,Land Cruiser,SUV/Crossover,2022,Gasoline,0,GCC,375000
toyota,Sequoia,SUV/Crossover,2023,Hybrid,78,Import,460000
toyota,Tundra,Pick Up Truck,2023,Gasoline,0,Import,232000
toyota,Hilux,Pick Up Truck,2023,Gasoline,0,GCC,149000
toyota,Corolla,Sedan,2022,Gasoline,0,Import,56000
toyota,Camry,Sedan,2023,Gasoline,0,GCC,86000
toyota,Land Cruiser,SUV/Crossover,2023,Gasoline,0,GCC,389000
toyota,RAV 4,SUV/Crossover,2023,Gasoline,0,GCC,109000
toyota,Camry,Sedan,2023,Hybrid,0,GCC,108000
toyota,Land Cruiser,SUV/Crossover,2023,Gasoline,0,GCC,345000
toyota,Hilux,Pick Up Truck,2023,Diesel,0,GCC,93500
toyota,Crown,Sedan,2023,Hybrid,0,GCC,180000
toyota,Land Cruiser Pickup,Pick Up Truck,2022,Diesel,0,GCC,142000
toyota,Highlander,SUV/Crossover,2023,Hybrid,0,GCC,170000
toyota,Hiace,Van,2023,Diesel,0,Import,145000
toyota,Land Cruiser,SUV/Crossover,2022,Gasoline,0,Import,266000
toyota,Land Cruiser,SUV/Crossover,2022,Gasoline,0,Import,365000
toyota,Land Cruiser,SUV/Crossover,2022,Gasoline,0,Import,263000
toyota,Prado,SUV/Crossover,2022,Diesel,0,Import,216500
toyota,Crown,Sedan,2023,Hybrid,0,GCC,182000
toyota,Land Cruiser,SUV/Crossover,2021,Gasoline,0,GCC,355000
toyota,Hilux,Pick Up Truck,2023,Gasoline,0,GCC,140800
toyota,Fortuner,SUV/Crossover,2023,Gasoline,0,GCC,191000
toyota,Tundra,Pick Up Truck,2023,Gasoline,0,GCC,241000
toyota,Land Cruiser,SUV/Crossover,2022,Diesel,0,GCC,329000
toyota,Sequoia,SUV/Crossover,2023,Hybrid,0,Import,476000
toyota,Tundra,Pick Up Truck,2023,Hybrid,0,Import,325000
toyota,Crown,Sedan,2023,Hybrid,0,Import,186000
toyota,Camry,Sedan,2023,Gasoline,0,Import,120000
toyota,Crown,Sedan,2023,Hybrid,0,GCC,176000
toyota,Land Cruiser,SUV/Crossover,2022,Diesel,0,GCC,396000
toyota,Prado,SUV/Crossover,2023,Diesel,0,GCC,220000
toyota,Land Cruiser Hard Top,SUV/Crossover,2023,Gasoline,0,GCC,167000
toyota,Camry,Sedan,2023,Gasoline,0,Import,130000
toyota,Land Cruiser,SUV/Crossover,2023,Diesel,0,Import,250000
toyota,Crown,Sedan,2023,Hybrid,0,Import,239000
toyota,Land Cruiser,SUV/Crossover,2022,Gasoline,0,GCC,325000
toyota,Fortuner,SUV/Crossover,2023,Gasoline,0,Import,122000
toyota,Fortuner,SUV/Crossover,2023,Diesel,0,GCC,151000
toyota,Land Cruiser,SUV/Crossover,2022,Gasoline,0,Import,375000
toyota,Prado,SUV/Crossover,2023,Gasoline,0,GCC,230000
toyota,bZ4X,SUV/Crossover,2023,Electric,0,Import,105000
toyota,Land Cruiser,SUV/Crossover,2023,Gasoline,0,GCC,359000
toyota,Camry,Sedan,2023,Hybrid,0,GCC,103000
toyota,FJ Cruiser,SUV/Crossover,2023,Gasoline,0,GCC,169000
toyota,Highlander,Other,2023,Hybrid,0,GCC,162000
toyota,Camry,Sedan,2023,Gasoline,0,GCC,84000
toyota,Highlander,SUV/Crossover,2023,Hybrid,0,GCC,175000
toyota,Prado,SUV/Crossover,2023,Gasoline,0,GCC,170000
toyota,Fortuner,SUV/Crossover,2023,Gasoline,0,GCC,119500
toyota,Camry,Sedan,2023,Gasoline,0,GCC,122000
toyota,Highlander,SUV/Crossover,2023,Hybrid,0,GCC,192000
toyota,Corolla,Sedan,2022,Gasoline,0,Import,67000
toyota,Land Cruiser,SUV/Crossover,2023,Gasoline,10,GCC,389000
toyota,bZ4X,SUV/Crossover,2023,Electric,0,Import,129500
toyota,Land Cruiser,SUV/Crossover,2022,Gasoline,0,GCC,325000
toyota,FJ Cruiser,SUV/Crossover,2023,Gasoline,0,GCC,165000
toyota,Land Cruiser,SUV/Crossover,2023,Gasoline,0,GCC,282000
toyota,Yaris,Sedan,2023,Gasoline,0,GCC,56000
toyota,Fortuner,SUV/Crossover,2023,Gasoline,0,GCC,120000
toyota,Camry,Sedan,2023,Gasoline,0,GCC,90000
toyota,Hiace,Van,2023,Diesel,0,GCC,106000
toyota,Hiace,Van,2022,Gasoline,0,GCC,96000
toyota,Land Cruiser,SUV/Crossover,2023,Gasoline,0,Import,260000
toyota,FJ Cruiser,SUV/Crossover,2023,Gasoline,0,GCC,170000
toyota,Land Cruiser,SUV/Crossover,2023,Diesel,0,GCC,385000
toyota,Land Cruiser,SUV/Crossover,2023,Gasoline,0,GCC,398000
toyota,Prado,SUV/Crossover,2023,Gasoline,0,GCC,230000
toyota,Land Cruiser Hard Top,SUV/Crossover,2023,Diesel,0,Import,165000
toyota,Sequoia,SUV/Crossover,2022,Hybrid,0,Import,375000
toyota,Land Cruiser,SUV/Crossover,2023,Diesel,0,Import,265000
toyota,Hilux,Pick Up Truck,2022,Diesel,0,GCC,90000
toyota,Prado,SUV/Crossover,2023,Diesel,0,Import,200000
toyota,Land Cruiser Hard Top,Pick Up Truck,2023,Diesel,0,GCC,161000
toyota,RAV 4,SUV/Crossover,2023,Gasoline,0,GCC,124000
toyota,Land Cruiser Hard Top,Pick Up Truck,2023,Diesel,0,GCC,160000
